event,fight,fighter1,fighter2
"

  UFC 281: Adesanya vs. Pereira

   ",<200 http://ufcstats.com/fight-details/bee95769a221af9a>,http://ufcstats.com/fighter-details/1291edf2d566a71a,http://ufcstats.com/fighter-details/cc1a8b4b38b92c6d
"

  UFC 281: Adesanya vs. Pereira

   ",<200 http://ufcstats.com/fight-details/db026ff6eee4d174>,http://ufcstats.com/fighter-details/9014c02eff8b3d62,http://ufcstats.com/fighter-details/8c57c7b8c3bab0eb
"

  UFC Fight Night: Rodriguez vs. Lemos

   ",<200 http://ufcstats.com/fight-details/abfc03893551ae73>,http://ufcstats.com/fighter-details/cd2c4d30c6e13b47,http://ufcstats.com/fighter-details/3df5493bb279226f
"

  UFC Fight Night: Rodriguez vs. Lemos

   ",<200 http://ufcstats.com/fight-details/b279559f15ecf29b>,http://ufcstats.com/fighter-details/84b3e7d38f2d2ec5,http://ufcstats.com/fighter-details/8a1f3b5c526cd6e6
"

  UFC Fight Night: Rodriguez vs. Lemos

   ",<200 http://ufcstats.com/fight-details/2664805fde34fb1b>,http://ufcstats.com/fighter-details/34e516ab361afb1c,http://ufcstats.com/fighter-details/0a73acff6325c1e2
"

  UFC Fight Night: Rodriguez vs. Lemos

   ",<200 http://ufcstats.com/fight-details/3adecfc4727a8d73>,http://ufcstats.com/fighter-details/f00ac08ab056af5d,http://ufcstats.com/fighter-details/6e9f40c706f91f32
"

  UFC Fight Night: Rodriguez vs. Lemos

   ",<200 http://ufcstats.com/fight-details/1535fb6549fa8bab>,http://ufcstats.com/fighter-details/99bd51917728c25d,http://ufcstats.com/fighter-details/da0995f19b749cfa
"

  UFC Fight Night: Rodriguez vs. Lemos

   ",<200 http://ufcstats.com/fight-details/71afa8354da2491e>,http://ufcstats.com/fighter-details/f29a6350c69f4a33,http://ufcstats.com/fighter-details/568bbad0eaced57c
"

  UFC Fight Night: Rodriguez vs. Lemos

   ",<200 http://ufcstats.com/fight-details/2ab395e21080b10a>,http://ufcstats.com/fighter-details/bc711b6dd95c1af6,http://ufcstats.com/fighter-details/773f7feacf96153e
"

  UFC Fight Night: Rodriguez vs. Lemos

   ",<200 http://ufcstats.com/fight-details/5475f5b6bad40989>,http://ufcstats.com/fighter-details/9673a497a9da119a,http://ufcstats.com/fighter-details/d05cb1e8d1b885d8
"

  UFC Fight Night: Rodriguez vs. Lemos

   ",<200 http://ufcstats.com/fight-details/31cb98ce37fd87dd>,http://ufcstats.com/fighter-details/1a54231796e24a3f,http://ufcstats.com/fighter-details/f6bcbd91b114ff58
"

  UFC Fight Night: Rodriguez vs. Lemos

   ",<200 http://ufcstats.com/fight-details/cfca30d3ef3c86b9>,http://ufcstats.com/fighter-details/760a55d5b6098cbe,http://ufcstats.com/fighter-details/60a42bf82447c919
"

  UFC Fight Night: Rodriguez vs. Lemos

   ",<200 http://ufcstats.com/fight-details/b87ac039e3b13940>,http://ufcstats.com/fighter-details/4f3064faf17aa711,http://ufcstats.com/fighter-details/3eb4dc9a7d4ac906
"

  UFC Fight Night: Kattar vs. Allen

   ",<200 http://ufcstats.com/fight-details/a554a72bb0377213>,http://ufcstats.com/fighter-details/751de04455cfaac0,http://ufcstats.com/fighter-details/040a74bb0a465c54
"

  UFC Fight Night: Kattar vs. Allen

   ",<200 http://ufcstats.com/fight-details/bf59d9f8bd9536f3>,http://ufcstats.com/fighter-details/4b47e71384a9522f,http://ufcstats.com/fighter-details/b0d6a1d8ac3d563d
"

  UFC Fight Night: Kattar vs. Allen

   ",<200 http://ufcstats.com/fight-details/5b6bdaf89e493674>,http://ufcstats.com/fighter-details/fc08099550072fe4,http://ufcstats.com/fighter-details/2b68d9f125d07b42
"

  UFC Fight Night: Kattar vs. Allen

   ",<200 http://ufcstats.com/fight-details/6a7db3750822d7be>,http://ufcstats.com/fighter-details/ca43de99b07b6b40,http://ufcstats.com/fighter-details/147e70aa6cc48cfc
"

  UFC Fight Night: Kattar vs. Allen

   ",<200 http://ufcstats.com/fight-details/98b7dd0ddc52cffb>,http://ufcstats.com/fighter-details/e4277e87a789d687,http://ufcstats.com/fighter-details/749f572d1d3161fb
"

  UFC Fight Night: Kattar vs. Allen

   ",<200 http://ufcstats.com/fight-details/f32d918ee06cb83b>,http://ufcstats.com/fighter-details/547afe1017e72dbe,http://ufcstats.com/fighter-details/327d5f279895110d
"

  UFC Fight Night: Kattar vs. Allen

   ",<200 http://ufcstats.com/fight-details/5dcba156bd13e0c3>,http://ufcstats.com/fighter-details/3738e68d2261e60f,http://ufcstats.com/fighter-details/ab943cd2c3c17825
"

  UFC Fight Night: Kattar vs. Allen

   ",<200 http://ufcstats.com/fight-details/d6d141afdd31c3f1>,http://ufcstats.com/fighter-details/8d20d76af3f213ce,http://ufcstats.com/fighter-details/285ae0b4a68221f4
"

  UFC Fight Night: Kattar vs. Allen

   ",<200 http://ufcstats.com/fight-details/86dff1593d8b9a1f>,http://ufcstats.com/fighter-details/971246648e162f0d,http://ufcstats.com/fighter-details/97cf1a2c7c5e7889
"

  UFC Fight Night: Kattar vs. Allen

   ",<200 http://ufcstats.com/fight-details/44abbf6b947be6de>,http://ufcstats.com/fighter-details/7f6ed67d3ed3c036,http://ufcstats.com/fighter-details/b15862fcd6ded451
"

  UFC Fight Night: Kattar vs. Allen

   ",<200 http://ufcstats.com/fight-details/fdb9d29cf0edc16a>,http://ufcstats.com/fighter-details/5ec591b78349ba7e,http://ufcstats.com/fighter-details/69888118d968ba52
"

  UFC Fight Night: Grasso vs. Araujo

   ",<200 http://ufcstats.com/fight-details/904cf687d22bb486>,http://ufcstats.com/fighter-details/e8b731feff72294b,http://ufcstats.com/fighter-details/36541f1e6c5d4955
"

  UFC Fight Night: Grasso vs. Araujo

   ",<200 http://ufcstats.com/fight-details/1af23e7aa71a1d17>,http://ufcstats.com/fighter-details/d247691a6c0e9034,http://ufcstats.com/fighter-details/f2477cf43c4975cc
"

  UFC Fight Night: Grasso vs. Araujo

   ",<200 http://ufcstats.com/fight-details/759c55755d70f7ba>,http://ufcstats.com/fighter-details/c878270af633eb11,http://ufcstats.com/fighter-details/866fd7b1a6c90e7f
"

  UFC Fight Night: Grasso vs. Araujo

   ",<200 http://ufcstats.com/fight-details/96d4fe315722d1c1>,http://ufcstats.com/fighter-details/2f13e4020cea5b38,http://ufcstats.com/fighter-details/eb8d8c2a95cfccb8
